ua,Phase_Shift_1,Phase_Shift_2,Phase_Shift_3,Phase_Shift_4,Phase_Shift_5,Phase_Shift_6,Phase_Shift_7,Phase_Shift_8,Phase_Shift_9,Phase_Shift_10,Phase_Shift_11,Va,Vr
2.283735657,3.032983578,2.898687406,2.798071982,2.599219113,2.379006535,2.082425075,1.871223453,1.705359484,1.568441304,1.451810573,1.350231362,50.57247307,102.3711539
3.441574899,-0.021482073,-0.048821447,-0.070374943,-0.117032399,-0.176931802,-0.274435884,-0.357129207,-0.430281617,-0.496267696,-0.556540425,-0.612105876,18.34167658,230.2672677
2.632836667,0.030977287,0.060000037,0.07046547,0.058188362,-0.000942962,-0.134660436,-0.25593869,-0.362466823,-0.456739145,-0.541152608,-0.617571416,26.87614563,209.0814684
2.140857028,-0.167626499,-0.372688325,-0.523396239,-0.811293082,-1.113685821,-1.498828303,-1.763092536,-1.967068098,-2.133966118,-2.275567222,-2.398695779,-85.65760888,31.05343481
2.358360755,-0.029596216,-0.069673876,-0.104144033,-0.186551451,-0.300297485,-0.485629936,-0.636270557,-0.76402922,-0.875353974,-0.974254364,-1.063405505,19.28224161,259.5130683
3.881174883,-0.015742436,-0.035589254,-0.050995494,-0.083575783,-0.124284562,-0.18952152,-0.244898507,-0.294274995,-0.339205168,-0.380576358,-0.418984616,12.08361969,125.7730704
2.134620263,3.037121725,2.905063494,2.802505947,2.588684333,2.335840536,1.976187645,1.710891739,1.498181592,1.319895447,1.166175857,1.030898849,98.72905544,298.5346337
1.076365854,0.074439478,0.059712129,-0.030295025,-0.318587254,-0.697521267,-1.197505852,-1.535521212,-1.80188425,-2.024112834,-2.212998803,-2.376987466,21.40481489,215.7576101
3.343082252,-0.066653111,-0.148481827,-0.209013547,-0.326038284,-0.451325795,-0.613724839,-0.72548679,-0.810938997,-0.879753277,-0.936949691,-0.985520777,-29.45518347,-28.392806
3.747767826,-0.087097675,-0.19436314,-0.274186033,-0.43037845,-0.601664065,-0.833085638,-1.001096223,-1.136121925,-1.250166033,-1.349446333,-1.43767262,-97.2509997,275.8829903
3.277732286,-0.09438759,-0.210491297,-0.296698387,-0.464653825,-0.647376955,-0.891355961,-1.066314882,-1.205663038,-1.322547987,-1.423746017,-1.513276334,-68.94017895,215.7274149
2.307201183,0.002945218,0.002551866,-0.002838726,-0.029465438,-0.082976855,-0.186269878,-0.275566931,-0.352416709,-0.419440425,-0.478715466,-0.531773432,8.790911319,55.47197027
2.562944962,-0.064246265,-0.14336842,-0.202251978,-0.317524858,-0.444170068,-0.616136664,-0.741923547,-0.843695979,-0.930131135,-1.005706936,-1.073094053,-1.720707771,116.2500898
3.693202939,-0.067976614,-0.151673178,-0.213929022,-0.335642154,-0.468908517,-0.648568158,-0.778733793,-0.883219255,-0.971411487,-1.048164907,-1.116370017,-34.74577751,187.6874462
3.765030545,2.804763348,2.439202674,2.21455737,1.872309328,1.592357354,1.296683545,1.114293256,0.979694121,0.872031583,0.781852651,0.704019743,52.67931709,169.8205202
1.730153851,3.11289495,3.052344687,2.980640187,2.779957538,2.502189532,2.096045723,1.801740958,1.569295663,1.376948149,1.213141591,1.070441241,75.61858516,191.045078
1.833616949,-0.192787465,-0.428059561,-0.600165995,-0.925825522,-1.261787896,-1.680094815,-1.962558735,-2.178472643,-2.353667121,-2.501403556,-2.629347441,-69.93514625,44.71570828
0.798837436,2.607439913,2.001005062,1.604035779,0.964587495,0.445056416,-0.095102876,-0.474442396,-0.759692594,-0.971214858,-1.142579701,-1.295603329,27.13633169,89.11280387
3.309458042,-0.076515493,-0.170494309,-0.240073761,-0.374830012,-0.519634024,-0.708605202,-0.839869397,-0.941151343,-1.023449149,-1.092463845,-1.151591512,-41.71114035,-46.56279546
